Periodo,Ano,Mes,Receitas_Ativas,Receitas_Passivas,Total_Receitas,Despesas_Operacionais,Despesas_Patrimoniais,Total_Despesas,Financiamento1_Studio,Financiamento2_Moradia,Financiamento3_Orlando,Venda_Ativos,Desembolso_Objetivos,Portfolio_Inicial,Rendimento_Portfolio,Saving,Portfolio_Final
2026/04,2026,4,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,18011.26,9334.75,0.00,0.00,3772289.02,0.00,24359.59,3808998.10
2026/05,2026,5,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17949.24,9334.75,0.00,0.00,3808998.10,0.00,-5578.39,3815889.38
2026/06,2026,6,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17887.22,9334.75,0.00,0.00,3815889.38,0.00,-5516.37,3822865.25
2026/07,2026,7,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17825.19,9334.75,0.00,0.00,3822865.25,0.00,-61331.34,3774048.97
2026/08,2026,8,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17763.17,9334.75,0.00,0.00,3774048.97,0.00,-5392.32,3781011.90
2026/09,2026,9,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17701.15,9334.75,0.00,0.00,3781011.90,0.00,-5330.30,3788059.65
2026/10,2026,10,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17639.13,9334.75,0.00,0.00,3788059.65,0.00,-5268.28,3795192.49
2026/11,2026,11,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17577.11,9334.75,0.00,0.00,3795192.49,0.00,61460.07,3869077.03
2026/12,2026,12,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17515.09,9334.75,0.00,0.00,3869077.03,0.00,-61021.24,3820722.14
2027/01,2027,1,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17453.07,9334.75,0.00,0.00,3820722.14,0.00,-6082.22,3827147.97
2027/02,2027,2,0.00,0.00,0.00,0.00,12634.63,0.00,4643.95,17391.05,9334.75,0.00,0.00,3827147.97,0.00,-7878.97,3831798.09
2027/03,2027,3,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17329.03,9334.75,0.00,0.00,3831798.09,0.00,-5958.18,3838384.23
2027/04,2027,4,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17267.00,9334.75,0.00,0.00,3838384.23,0.00,24103.85,3875053.94
2027/05,2027,5,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17204.98,9334.75,0.00,0.00,3875053.94,0.00,-5834.13,3881905.73
2027/06,2027,6,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17142.96,9334.75,0.00,0.00,3881905.73,0.00,-5772.11,3888841.96
2027/07,2027,7,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17080.94,9334.75,0.00,0.00,3888841.96,0.00,-61587.09,3839985.93
2027/08,2027,8,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,17018.92,9334.75,0.00,0.00,3839985.93,0.00,-5648.07,3846908.97
2027/09,2027,9,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,16956.90,9334.75,0.00,0.00,3846908.97,0.00,-5586.05,3853916.70
2027/10,2027,10,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,16894.88,9334.75,0.00,0.00,3853916.70,0.00,-5524.03,3861009.39
2027/11,2027,11,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,16832.86,9334.75,0.00,0.00,3861009.39,0.00,61204.32,3934853.66
2027/12,2027,12,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,16770.84,9334.75,0.00,0.00,3934853.66,0.00,-61276.99,3886458.36
2028/01,2028,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16708.82,9334.75,0.00,0.00,3886458.36,0.00,1749.73,3900931.34
2028/02,2028,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,16646.79,9334.75,0.00,0.00,3900931.34,0.00,-47.01,3913654.96
2028/03,2028,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16584.77,9334.75,0.00,0.00,3913654.96,0.00,1873.78,3928341.03
2028/04,2028,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16522.75,9334.75,0.00,0.00,3928341.03,0.00,31935.80,3973137.19
2028/05,2028,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16460.73,9334.75,0.00,150000.00,3973137.19,0.00,-148002.18,3838142.03
2028/06,2028,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16398.71,9334.75,0.00,0.00,3838142.03,0.00,2059.84,3852766.95
2028/07,2028,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16336.69,9334.75,0.00,0.00,3852766.95,0.00,-53755.14,3811624.77
2028/08,2028,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16274.67,9334.75,0.00,0.00,3811624.77,0.00,2183.88,3826286.92
2028/09,2028,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16212.65,9334.75,0.00,0.00,3826286.92,0.00,2245.90,3841059.09
2028/10,2028,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16150.63,9334.75,0.00,0.00,3841059.09,0.00,2307.92,3855941.64
2028/11,2028,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16088.60,9334.75,0.00,0.00,3855941.64,0.00,69036.28,3937601.27
2028/12,2028,12,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,16026.58,9334.75,0.00,0.00,3937601.27,0.00,-53445.03,3897046.92
2029/01,2029,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15964.56,9334.75,0.00,0.00,3897046.92,0.00,2493.99,3912298.82
2029/02,2029,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,15902.54,9334.75,0.00,0.00,3912298.82,0.00,697.24,3925803.91
2029/03,2029,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15840.52,9334.75,0.00,0.00,3925803.91,0.00,2618.03,3941274.00
2029/04,2029,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15778.50,9334.75,0.00,0.00,3941274.00,0.00,32680.05,3986856.76
2029/05,2029,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15716.48,9334.75,0.00,0.00,3986856.76,0.00,2742.07,4002650.76
2029/06,2029,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15654.46,9334.75,0.00,0.00,4002650.76,0.00,2804.09,4018558.49
2029/07,2029,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15592.44,9334.75,0.00,0.00,4018558.49,0.00,-53010.89,3978703.32
2029/08,2029,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15530.41,9334.75,0.00,0.00,3978703.32,0.00,2928.14,3994656.69
2029/09,2029,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15468.39,9334.75,0.00,0.00,3994656.69,0.00,2990.16,4010724.32
2029/10,2029,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15406.37,9334.75,0.00,0.00,4010724.32,0.00,3052.18,4026906.56
2029/11,2029,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15344.35,9334.75,0.00,0.00,4026906.56,0.00,69780.53,4109870.14
2029/12,2029,12,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15282.33,9334.75,0.00,0.00,4109870.14,0.00,-52700.78,4070624.00
2030/01,2030,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15220.31,9334.75,0.00,0.00,4070624.00,0.00,-2937.16,4081013.01
2030/02,2030,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,15158.29,9334.75,0.00,0.00,4081013.01,0.00,-4733.91,4089639.27
2030/03,2030,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15096.27,9334.75,0.00,0.00,4089639.27,0.00,-2813.12,4100214.57
2030/04,2030,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,15034.25,9334.75,0.00,0.00,4100214.57,0.00,27248.90,4140886.51
2030/05,2030,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14972.22,9334.75,0.00,0.00,4140886.51,0.00,-2689.07,4151753.62
2030/06,2030,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14910.20,9334.75,0.00,0.00,4151753.62,0.00,-2627.05,4162718.33
2030/07,2030,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14848.18,9334.75,0.00,0.00,4162718.33,0.00,-58442.03,4117903.95
2030/08,2030,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14786.16,9334.75,0.00,0.00,4117903.95,0.00,-2503.01,4128881.89
2030/09,2030,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14724.14,9334.75,0.00,0.00,4128881.89,0.00,-2440.99,4139957.78
2030/10,2030,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14662.12,9334.75,0.00,0.00,4139957.78,0.00,-2378.97,4151131.96
2030/11,2030,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14600.10,9334.75,0.00,0.00,4151131.96,0.00,64349.38,4229071.07
2030/12,2030,12,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14538.08,9334.75,0.00,0.00,4229071.07,0.00,-58131.93,4184784.02
2031/01,2031,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14476.06,9334.75,0.00,0.00,4184784.02,0.00,-3192.91,4195291.01
2031/02,2031,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,14414.03,9334.75,0.00,0.00,4195291.01,0.00,-4989.65,4204035.64
2031/03,2031,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14352.01,9334.75,0.00,0.00,4204035.64,0.00,-3068.86,4214729.70
2031/04,2031,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14289.99,9334.75,0.00,0.00,4214729.70,0.00,26993.16,4255520.78
2031/05,2031,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14227.97,9334.75,0.00,0.00,4255520.78,0.00,-2944.82,4266507.43
2031/06,2031,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14165.95,9334.75,0.00,0.00,4266507.43,0.00,-2882.80,4277592.06
2031/07,2031,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14103.93,9334.75,0.00,0.00,4277592.06,0.00,-58697.78,4232898.01
2031/08,2031,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,14041.91,9334.75,0.00,0.00,4232898.01,0.00,-2758.76,4243996.66
2031/09,2031,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13979.89,9334.75,0.00,0.00,4243996.66,0.00,-2696.74,4255193.66
2031/10,2031,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13917.87,9334.75,0.00,0.00,4255193.66,0.00,-2634.72,4266489.34
2031/11,2031,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13855.84,9334.75,0.00,0.00,4266489.34,0.00,64093.64,4344550.35
2031/12,2031,12,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13793.82,9334.75,0.00,0.00,4344550.35,0.00,-58387.67,4300385.61
2032/01,2032,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13731.80,9334.75,0.00,0.00,4300385.61,0.00,2726.75,4317190.70
2032/02,2032,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,13669.78,9334.75,0.00,0.00,4317190.70,0.00,930.00,4332254.05
2032/03,2032,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13607.76,9334.75,0.00,0.00,4332254.05,0.00,2850.79,4349287.52
2032/04,2032,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13545.74,9334.75,0.00,0.00,4349287.52,0.00,32912.81,4396438.76
2032/05,2032,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13483.72,9334.75,0.00,0.00,4396438.76,0.00,2974.83,4413806.39
2032/06,2032,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13421.70,9334.75,0.00,0.00,4413806.39,0.00,3036.85,4431292.90
2032/07,2032,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13359.68,9334.75,0.00,0.00,4431292.90,0.00,-52778.13,4393021.67
2032/08,2032,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13297.65,9334.75,0.00,0.00,4393021.67,0.00,3160.89,4410564.18
2032/09,2032,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13235.63,9334.75,0.00,0.00,4410564.18,0.00,3222.92,4428226.13
2032/10,2032,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13173.61,9334.75,0.00,0.00,4428226.13,0.00,3284.94,4446007.93
2032/11,2032,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13111.59,9334.75,0.00,0.00,4446007.93,0.00,70013.29,4530576.29
2032/12,2032,12,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,13049.57,9334.75,0.00,0.00,4530576.29,0.00,-52468.02,4492940.20
2033/01,2033,1,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12987.55,9334.75,0.00,0.00,4492940.20,0.00,3471.00,4511119.91
2033/02,2033,2,0.00,0.00,0.00,0.00,4546.92,0.00,4643.95,12925.53,9334.75,0.00,0.00,4511119.91,0.00,1674.25,4527562.40
2033/03,2033,3,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12863.51,9334.75,0.00,0.00,4527562.40,0.00,3595.04,4545979.50
2033/04,2033,4,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12801.49,9334.75,0.00,0.00,4545979.50,0.00,33657.06,4594518.92
2033/05,2033,5,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12739.47,9334.75,0.00,0.00,4594518.92,0.00,3719.08,4613279.26
2033/06,2033,6,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12677.44,9334.75,0.00,0.00,4613279.26,0.00,3781.11,4632163.05
2033/07,2033,7,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12615.42,9334.75,0.00,0.00,4632163.05,0.00,-52033.87,4595293.67
2033/08,2033,8,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12553.40,9334.75,0.00,0.00,4595293.67,0.00,3905.15,4614242.61
2033/09,2033,9,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12491.38,9334.75,0.00,0.00,4614242.61,0.00,3967.17,4633315.61
2033/10,2033,10,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12429.36,9334.75,0.00,0.00,4633315.61,0.00,4029.19,4652513.07
2033/11,2033,11,0.00,0.00,0.00,0.00,2688.15,0.00,4643.95,12367.34,9334.75,0.00,0.00,4652513.07,0.00,70757.54,4738501.73
