id,planejamento_id,ano,mes,periodo,data,despesas_basicas,despesas_dependentes,despesas_estilo,despesas_viagens,despesas_patrimoniais,financiamento_1,financiamento_2,financiamento_3,financiamento_4,financiamento_5,receita_ativa,receita_passiva,receita_patrimonio,inss,venda_ativos,desembolso_objetivos,despesas_totais,receitas_totais,cs,portfolio_inicial,total_vendas,projetos,saving,renta_dolar,portfolio_final,projetos_brl,projetos_usd,caixa,longevidade,gerado_em,versao
25,2,2025,1,45657,2025-01-01,23000,11000,13000,0,5350,4643.95,18941.57,0,0,0,70000,0,3950,0,0,0,75935.52,73950,0,3645163.18,0,0,-1985.52,0,3655110.97,0,0,0,0,2025-08-13 11:17:10.529453,1
26,2,2025,2,45688,2025-02-01,23000,11000,13000,0,6650,4643.95,18879.55,0,0,0,70000,0,3950,0,0,0,77173.5,73950,0,3655110.97,0,0,-3223.5,0,3663853.35,0,0,0,0,2025-08-13 11:17:10.707309,1
27,2,2025,3,45716,2025-03-01,23000,11000,13000,0,5350,4643.95,18817.53,0,0,0,70000,0,3950,0,0,0,75811.48,73950,0,3663853.35,0,0,-1861.48,0,3673986.37,0,0,0,0,2025-08-13 11:17:10.885778,1
28,2,2025,4,45747,2025-04-01,23000,11000,13000,0,5350,4643.95,18755.51,0,0,0,135000,0,3950,0,0,0,75749.46,138950,0,3673986.37,0,0,63200.54,0,3749214.59,0,0,0,0,2025-08-13 11:17:13.048526,1
29,2,2025,5,45777,2025-05-01,23000,11000,13000,0,5350,4643.95,18693.49,0,0,0,70000,0,3950,0,0,0,75687.44,73950,0,3749214.59,0,0,-1737.44,0,3759751.1,0,0,0,0,2025-08-13 11:17:13.209783,1
30,2,2025,6,45808,2025-06-01,23000,11000,13000,0,5350,4643.95,18631.47,0,0,0,70000,0,3950,0,0,0,75625.42,73950,0,3759751.1,0,0,-1675.42,0,3770384.13,0,0,0,0,2025-08-13 11:17:13.379947,1
31,2,2025,7,45838,2025-07-01,23000,11000,13000,55426,5350,4643.95,18569.45,0,0,0,70000,0,3950,0,0,0,130989.4,73950,0,3770384.13,0,0,-57039.4,0,3725687.99,0,0,0,0,2025-08-13 11:17:13.549804,1
32,2,2025,8,45869,2025-08-01,23000,11000,13000,0,5350,4643.95,18507.43,0,0,0,70000,0,3950,0,0,0,75501.38,73950,0,3725687.99,0,0,-1551.38,0,3736333.55,0,0,0,0,2025-08-13 11:17:13.713245,1
33,2,2025,9,45900,2025-09-01,23000,11000,13000,0,5350,4643.95,18445.41,0,0,0,70000,0,3950,0,0,0,75439.35,73950,0,3736333.55,0,0,-1489.35,0,3747075.97,0,0,0,0,2025-08-13 11:17:13.888897,1
34,2,2025,10,45930,2025-10-01,23000,11000,13000,0,5350,4643.95,18383.38,0,0,0,70000,0,3950,0,0,0,75377.33,73950,0,3747075.97,0,0,-1427.33,0,3757915.59,0,0,0,0,2025-08-13 11:17:14.035804,1
35,2,2025,11,45961,2025-11-01,23000,11000,13000,0,5350,4643.95,18321.36,0,0,0,136666.33,0,3950,0,0,0,75315.31,140616.33,0,3757915.59,0,0,65301.02,0,3835519.05,0,0,0,0,2025-08-13 11:17:14.208947,1
36,2,2025,12,45991,2025-12-01,23000,11000,13000,55426,5350,4643.95,18259.34,0,0,0,70000,0,3950,0,0,0,130679.29,73950,0,3835519.05,0,0,-56729.29,0,3791346.25,0,0,0,0,2025-08-13 11:17:14.387964,1
